'match_id','radiant_win','duration','game_mode','lobby_type','hero_id','kills_per_min','deaths_per_min','assists_per_min','average_rank','xp_per_min','gold_per_min','hero_damage_per_min','tower_damage_per_min','last_hits_per_min'
5066503471,True,1060,23,0,8,0.0,0.2830188679245283,0.11320754716981132,,1054,324,161.20754716981133,0.0,1.4150943396226414
5066380455,False,1406,23,0,90,0.0,0.08534850640113797,0.7254623044096729,,1291,708,479.2745376955903,42.887624466571836,2.0056899004267423
2594136776,False,2669,22,7,29,0.0674409891345073,0.22480329711502436,0.15736230798051704,,283,229,117.45972274260022,1.2813787935556389,1.7085050580741852
2543207976,False,2548,22,7,84,0.16483516483516483,0.04709576138147567,0.4945054945054945,,558,388,276.49921507064363,40.40816326530612,1.0832025117739403
2541059709,False,2934,22,7,85,0.12269938650306748,0.14314928425357873,0.4498977505112474,,419,335,178.24130879345603,20.83844580777096,1.2883435582822085
2539051975,True,1975,1,0,45,0.21265822784810126,0.060759493670886074,0.5772151898734177,,468,514,462.9873417721519,160.40506329113924,3.7367088607594936
1714372922,False,2760,22,7,110,0.10869565217391304,0.08695652173913043,0.41304347826086957,,387,357,296.3695652173913,23.26086956521739,1.391304347826087
1708884483,True,1693,1,0,51,0.1772002362669817,0.10632014176018902,0.7088009450679268,,299,366,268.42291789722384,49.93502658003544,1.2049616066154756
1706431265,False,2381,1,0,79,0.0755984880302394,0.0755984880302394,0.45359092818143637,,337,307,222.4107517849643,17.942041159176817,0.7307853842923141
1703661359,False,1432,1,0,85,0.16759776536312848,0.33519553072625696,0.08379888268156424,,154,190,207.9050279329609,0.0,0.5446927374301676
1700654837,True,2727,22,7,68,0.15401540154015403,0.19801980198019803,0.35203520352035206,,428,300,240.06600660066007,3.9383938393839384,0.594059405940594
1700150614,False,2290,22,7,100,0.07860262008733625,0.1572052401746725,0.5240174672489083,,519,408,315.7991266375546,28.558951965065503,1.1004366812227073
1679168326,False,3409,1,0,68,0.0,0.19360516280434145,0.21120563215019067,,297,235,145.48547961278967,0.5104136110296275,0.6864183044881197
1678884966,False,2390,22,7,110,0.0,0.200836820083682,0.12552301255230125,,134,139,108.42677824267783,0.0,0.7782426778242678
1678330000,False,2806,22,7,45,0.12829650748396293,0.06414825374198146,0.3421240199572345,,422,387,349.4369208838204,120.25659301496792,2.459016393442623
1676550678,False,3401,22,7,90,0.035283740076448106,0.08820935019112026,0.19406057042046457,,439,438,168.1270214642752,10.32049397236107,3.828285798294619
1676089256,False,1605,22,7,31,0.037383177570093455,0.037383177570093455,0.7850467289719626,,371,378,345.60747663551405,38.39252336448598,0.6355140186915887
1673805087,False,2876,22,7,86,0.02086230876216968,0.22948539638386647,0.2712100139082058,,376,283,82.4269819193324,0.9596662030598053,1.5229485396383866
1673492441,False,2763,22,7,64,0.021715526601520086,0.13029315960912052,0.4777415852334419,,625,386,200.6297502714441,34.02823018458198,2.0629750271444083
1666138201,False,2032,22,7,68,0.02952755905511811,0.11811023622047244,0.5905511811023622,,301,270,180.82677165354332,16.505905511811022,0.47244094488188976
